,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc
sauvignon,16.60417157938242,384.0830075311836,1495.2744763808807,118.32331970447262,93.87632977741,-1047.3153599115458,1234.5722767435504,381.0810789583961,-4172.419440960326,1.2381447463928,-0.0361928287631581,65312.61367839037,-0.0278439681474318,0.0113114547788316,-0.0309784837130464,0.0045872023841401,0.0119122513634344,0.1721086233832123,-0.1311256863240499,-0.0161075439456149,2.048509490454278,1.1053294218235992,-0.0131462005092781,-0.0453661502731811,4.494918837057191,-0.9350365901683304,-0.1014084563307197,0.091070293238527,-0.7668107754018278,4.3597186655797024,-16.34897775364181,-7.898364239259717,-0.0234711632982888
yolk,-81.7047158637265,-1334.049642233434,458.3207392425247,-245.64835019276995,-181.3415002514708,-9502.532294078592,-1924.703711826872,-8058.665403906571,-2647.4294154266436,19.771677416531087,0.0354799240444926,-23306.782354698928,-0.0029756321707331,-0.2275320743214652,0.0219515116940401,0.0653930706864066,-0.1573292245379608,-2.3489431754405636,0.2613581746693174,-0.1601858528460001,-7.846969167572204,0.6817133637613406,-0.2419863425509325,-0.0001901830480028,-14.576408750616196,2.725174436437943,-1.282971071169655,-41.35165006586096,2.696183029007916,-102.01531329800233,-268.33642107592914,23.185275524968795,-1.1409336028511885
marjoram,-86.75591151257666,-3020.36216552151,1077.9187658037574,-805.5048920033394,-897.7788040127928,-10762.824683907009,-1714.399325826393,-4783.486996219768,-2198.5338119116436,-0.1590798351777955,0.0914761570212199,33475.56705406871,-0.0068757278181053,-0.121253984919535,0.0660618651986007,0.0702169498516641,-0.035204358744953,-1.6938582375881834,0.2411004107136981,-0.0949263526940137,-4.874907690467939,2.791547463475683,-0.3214822241288693,0.1322825379129502,-17.500838562376206,36.78557135970608,-0.8648365496644486,-39.803199317558025,6.978299298580903,-92.28010935556294,-207.06729199103887,36.170362691845234,-0.7410607281746091
flaxseed,65.39741391925617,4157.7351228302305,296.8609860477549,107.37665990348732,5719.486033917122,3882.212930901699,532.3627768680352,2684.7315509459886,2517.2313130554107,-2.062987432709753,0.0710511927206447,12246.90412287397,-0.0002798010207145,0.1925890042423521,0.0315170271252729,0.0074717116372344,0.087090948313815,0.4609612190931944,0.322778229719284,0.1407749218704117,-0.784994776338982,0.6477125492400704,-0.5912448066494924,0.1374107809038615,32.38189128370998,1.5941651332956157,0.9894829509227728,44.957500517467246,2.7131905919497616,86.94015456379952,125.95274109759748,27.775812365449823,0.6030324388317369
soda,45.44746732418274,-5421.74769621769,-3488.9611053338413,-1865.7085615847277,-1002.194350287914,26231.670588878264,26045.5965553288,-2681.0603039143853,-1000.1445815453196,-3.387308092680195,0.2222536480262175,259129.01296911913,0.0007418413521299,-0.0502127055987822,-0.0271351258358048,-0.004185249694319,-0.0211610886346848,-0.9363327487994352,-0.1716117645913608,-0.043623783940605,10.716697781528223,-0.7177834990457981,-0.1079332783141431,0.6929159768218454,-21.52496872290666,3.900431756286456,-0.578512444148124,-8.799623296680858,0.0677002119433642,-33.59949451805453,10.124429468185172,-1.3958789588034364,-0.1140789143591289
drop,69.11156927126376,2649.850459166119,1198.6153655887963,1055.1967863081388,972.3440760821996,8966.25544858925,-3274.9670519698484,1989.001317287862,2088.6021103182197,-44.33447784893826,-0.0990596162490096,61962.69032232795,-0.0002313137018947,0.0639602278428578,0.0570013296385021,-0.0259973133869562,-0.0701820420778141,0.9205696666637234,0.432869759979957,0.1977413527810776,4.7554170025109626,1.74288158748408,-0.4925417213154384,0.1029192197758854,-10.188464812161008,-0.272024708721798,0.2392664085381617,11.44241303977038,3.1425350399901233,31.003955404773,49.70327506503735,25.5841415703774,-0.6779571041277126
muscadine,-63.36202090590824,-1902.1970326169196,-1078.143660581535,-581.4325775088219,-541.5814474759171,-10738.799443506414,-611.2655020783459,-1358.2505926961094,-1167.8747650069986,-1.5689767593039976,0.084691625850761,-31871.96663644897,0.0003683658406924,-0.0654278321705182,0.0120641883666633,-0.0010201848176521,-0.012390318106488,-0.2798327858518153,-0.299571502484418,-0.0929371132767893,29.829232070009464,3.4187701586614203,-0.1491546098995407,-0.5842442063774551,0.6255137263977971,0.5811919553794898,-0.591128209782576,-10.232578362880306,-1.204172567366741,-22.106729687000744,-63.999616401029506,-14.702320380062105,0.3087846003410464
skittle,-21.480701906424272,-2756.335377413942,-4027.036783010867,2365.1405297802357,-2185.7293594199996,5733.876773546885,20022.07400008116,-1443.263511008754,-136.60548259258482,-4.634978403337829,0.0676166028254793,27834.588689080727,-0.0007564662835613,-0.171629349409798,-0.0536366209351785,-0.0241257534254825,-0.0315582723234016,-0.8379605404000787,-0.5287151472966517,-0.1402128457501095,24.614649366263933,1.450273208271034,0.5097659505656508,1.0277379973784844,29.88436779690737,-18.82213081355564,0.158782134472201,-1.1093987245370334,-7.74538178046167,40.30497966630112,-183.44971981275273,2.143927681092422,0.7472397329786363
kind,-5.0019662242170195,-1130.71832534176,2699.526552905761,1823.2066106808952,-179.09706536808608,-3183.664910516256,-13048.277082144248,236.3301108156653,901.7261702001664,-4.143389971219282,0.0760197576942979,2962.6060032317855,0.0001965495414174,0.0627253901658276,0.0196101790053516,-0.0065482220382,-0.0600832104001585,0.4927757576492534,0.1992061965791023,-0.0196770019278744,10.714054432525964,1.9885030964752717,0.8618974672035141,0.0950090169980608,-11.157593470782572,19.633720864351965,0.7592710681500251,13.067882586083533,2.0095253334308074,15.477387484640357,24.079377841009727,14.512859048891784,0.1552609167249586
joghurt,5.249999999999009,149.99999999987034,24.999999999969862,674.9999999999461,649.9999999999869,250.00000000001717,22.499999999986176,74.99999999995774,2.3969928613742644e-12,1.479908484461276e-13,1.3473982362220952e-16,-4.677803159821486e-11,4.0033957941443566e-18,4.46086975617914e-16,-6.938706715040916e-15,5.988077815371105e-16,1.6046623477641674e-16,-7.038360779695076e-15,1.7745795332688181e-15,1.8344032743237977e-15,1.183807994741305e-13,-5.4399049471394e-15,3.7299322583642023e-16,-1.4215530184014373e-15,-4.1177871227347353e-13,-1.754405388983213e-13,-6.322092542800541e-15,-1.9182110986165434e-13,4.113341761868324e-16,-6.478718648480682e-13,-9.120472295839716e-13,2.671816620950192e-13,-7.427350620134157e-16
